key,plaintext,ciphertext
73be0bb5b74a8f6324f8a5f0acbf5faada560ba5d66cb7b405ead698ee923410,e602ef85184ad4a86ed339e9403f541c,7c227f03e605ff14c42fb9f8e8786e84
c82e22faeca51a38045f2a3a04a0e6e2a67474a6306948a0c1c56f6006ea5a94,7c227f03e605ff14c42fb9f8e8786e84,94c0466b27aa4d361b19c250329c14a0
7c1dd42bdff414e3733b846cbb00c43432b432cd17c30596dadcad3034764e34,94c0466b27aa4d361b19c250329c14a0,fd6b281c93c1fd8e9b83b69ecf722f3b
aa7ec003efbca86fe5ad028d0571cf3acfdf1ad18402f818415f1baefb04610f,fd6b281c93c1fd8e9b83b69ecf722f3b,a75b28be92dc53de9d44714918e3c541
14ba26bafb6c8410104d70ec23876db56884326f16deabc6dc1b6ae7e3e7a44e,a75b28be92dc53de9d44714918e3c541,48693025ba68f3fa3515e7112b6e32aa
33b40738b39ebe39118938c6461ebd7820ed024aacb6583ce90e8df6c88996e4,48693025ba68f3fa3515e7112b6e32aa,6bfa37cc5ed6e5d4ddf40b1301957f73
0d16eab1b56e2a468bf1ba1035129d574b173586f260bde834fa86e5c91ce997,6bfa37cc5ed6e5d4ddf40b1301957f73,ca18b89c3225877e02e21042af9836a8
44b55514a5b4a5a4294f3cf8e75ff73c810f8d1ac0453a96361896a76684df3f,ca18b89c3225877e02e21042af9836a8,c3ebc08368be58f8f514cfbd5f98ed52
265f1a7a53151bc51526fe476e8c63ad42e44d99a8fb626ec30c591a391c326d,c3ebc08368be58f8f514cfbd5f98ed52,788552397ddf2d5841dbc0e73dd11150
23fa4630937015585ac065e6a7bd93023a611fa0d5244f3682d799fd04cd233d,788552397ddf2d5841dbc0e73dd11150,e9d728bc19b50809bc1245552091d0b2
9dd3a2408e5694fced28964c7f442e6ed3b6371ccc91473f3ec5dca8245cf38f,e9d728bc19b50809bc1245552091d0b2,ce08d78b58179b7957eeab6f74ddb10f
055d53ef574a63f77c0b3a88e7e7cdb01dbee0979486dc46692b77c750814280,ce08d78b58179b7957eeab6f74ddb10f,33ce33e80fcc262e9e862f5ac50c14df
c1a90cdef5d5daaf7b182d6b409940e62e70d37f9b4afa68f7ad589d958d565f,33ce33e80fcc262e9e862f5ac50c14df,5c4d21e6045f11f9f91a8cef130304e0
6a257a4f65bdd7d882ff45ffbb9541e5723df2999f15eb910eb7d472868e52bf,5c4d21e6045f11f9f91a8cef130304e0,4f50679c2dbfa63b5e55d031afacd44b
5843bf4d6afc64273d328e1baf7821b03d6d9505b2aa4daa50e20443292286f4,4f50679c2dbfa63b5e55d031afacd44b,29f64e79de48f3d3d5dff92aa0b1783b
8915060a33758a300c053d365c304d4e149bdb7c6ce2be79853dfd698993fecf,29f64e79de48f3d3d5dff92aa0b1783b,8c5bf92515a92449846593a3bdbe521b
be2b2a41b3491511c181508b66ec96f798c02259794b9a3001586eca342dacd4,8c5bf92515a92449846593a3bdbe521b,5511fef7a2238277aaa9e25f1d097c19
4d6f38935317ffa0cb29bdfa8a43cd19cdd1dcaedb681847abf18c952924d0cd,5511fef7a2238277aaa9e25f1d097c19,2ecd75c6a5eace1c541e12db150a2143
1549ea3d167152c85223b0a603d1fa61e31ca9687e82d65bffef9e4e3c2ef18e,2ecd75c6a5eace1c541e12db150a2143,6a4cfcb9e8dae9610df99509daac7be0
ba593f6731f70edab83f5cdf02527436895055d196583f3af2160b47e6828a6e,6a4cfcb9e8dae9610df99509daac7be0,185772deff51807147ac5350249b3e1a
7126a05712f987f1c9249bf9a7c17b4f9107270f6909bf4bb5ba5817c219b474,185772deff51807147ac5350249b3e1a,bfb1ce7df706bc972e1b8306d44aa135
3d0fa3983ebc8a3f64c4135d7cd3195e2eb6e9729e0f03dc9ba1db1116531541,bfb1ce7df706bc972e1b8306d44aa135,f21df1e99a781dba4a68ff3491848f99
88c88ec4d63eb481cd8d6e8e8d2e2715dcab189b04771e66d1c9242587d79ad8,f21df1e99a781dba4a68ff3491848f99,e4e8c9e4963a44f5cf27767e4e42fa61
989b9545625a4025f7725d63847213883843d17f924d5a931eee525bc99560b9,e4e8c9e4963a44f5cf27767e4e42fa61,27475121d0e3367d0e0c2d9fb39cfe95
f49b61f190f982aa866d5c8f2e5749781f04805e42ae6cee10e27fc47a099e2c,27475121d0e3367d0e0c2d9fb39cfe95,c2990626cb34c5d7fafe0430650ed907
101537d5f633ad8dc7e8cc058ce7fe20dd9d8678899aa939ea1c7bf41f07472b,c2990626cb34c5d7fafe0430650ed907,1c5d0cca2845b66c371c1760f81e024a
1f6acaa66674733d28dfec92c43c7e76c1c08ab2a1df1f55dd006c94e7194561,1c5d0cca2845b66c371c1760f81e024a,6f5a53addd93c9a136401a804a710419
b55bdefe370646699012062df748b6aaae9ad91f7c4cd6f4eb407614ad684178,6f5a53addd93c9a136401a804a710419,8e0c070be7109ead0e8cc0aa0bf95e61
de09c34a85d56a2748559c309f04eb722096de149b5c4859e5ccb6bea6911f19,8e0c070be7109ead0e8cc0aa0bf95e61,db53b5306561db899a635a56c56e7239
2650ecd133a5df3825072a4df2d95d15fbc56b24fe3d93d07fafece863ff6d20,db53b5306561db899a635a56c56e7239,72e5ac05990d3f5508295f95f8973313
a8599f0edd6446b4bb9371e380bf33488920c7216730ac857786b37d9b685e33,72e5ac05990d3f5508295f95f8973313,86a8332f16f997bc02af5271c64e7e0f
672e7b0d497458e260084662c566394e0f88f40e71c93b397529e10c5d26203c,86a8332f16f997bc02af5271c64e7e0f,8e53858ce7ad0d25410f886eeeca1e0e
73ea41a50cdd5a98644e6f8d974af21381db71829664361c34266962b3ec3e32,8e53858ce7ad0d25410f886eeeca1e0e,c6a1d493d607d2cef6aef29ee878c434
14969b3ff78ccdd66c53b8027a79563e477aa5114063e4d2c2889bfc5b94fa06,c6a1d493d607d2cef6aef29ee878c434,a4973e0cfaf8d6ac6758615fc81e06df
d09e2741b9480c2166c9c1832654763de3ed9b1dba9b327ea5d0faa3938afcd9,a4973e0cfaf8d6ac6758615fc81e06df,67e3243d8bc81887517708a29a5d9ae5
22c65ead303a0395cc9c065ada930ddd840ebf2031532af9f4a7f20109d7663c,67e3243d8bc81887517708a29a5d9ae5,de2f35df51644cf5d79984be6c17c14c
8679ef0357516245ec489386419646bc5a218aff6037660c233e76bf65c0a770,de2f35df51644cf5d79984be6c17c14c,9eaedabb3bd046ec27a2bdafabdbc861
6043902c115f107639e7c92ba4952301c48f50445be720e0049ccb10ce1b6f11,9eaedabb3bd046ec27a2bdafabdbc861,0cde7e6c1aecbbe996865bf30b178de7
aca443a9e31033ea73b1eeda6e7d6ca1c8512e28410b9b09921a90e3c50ce2f6,0cde7e6c1aecbbe996865bf30b178de7,ba25bf5be1e4c099b9e45eedd7369cb5
60362e2b0bf998c875c087c370c4ca4772749173a0ef5b902bfece0e123a7e43,ba25bf5be1e4c099b9e45eedd7369cb5,805be62789549ce6af74966467f41135
6d7f0f7584162a1fa4dd6764548f355af22f775429bbc776848a586a75ce6f76,805be62789549ce6af74966467f41135,ab6001c6c4c56e8ca393c5fd173505ba
d8ecc39ac1d00c53216f6e64e826a7a9594f7692ed7ea9fa27199d9762fb6acc,ab6001c6c4c56e8ca393c5fd173505ba,3ba3673f4f495dd1541d47c22b7921c5
493108f91caedf714652149a2b2030fe62ec11ada237f42b7304da5549824b09,3ba3673f4f495dd1541d47c22b7921c5,b24fe17cdc5c8cfa4260c38691b57bfa
446af6dd5f58755aeaa0a1226d8c584fd0a3f0d17e6b78d1316419d3d83730f3,b24fe17cdc5c8cfa4260c38691b57bfa,86d999a63b96f6c9d9aaf3be6202977b
65f92d4e1723d5e58aeb350c79df28de567a697745fd8e18e8ceea6dba35a788,86d999a63b96f6c9d9aaf3be6202977b,c4712aa733f9737f91e4ed61609e02f1
915cee6af4ea95623f7122acda5e9040920b43d07604fd67792a070cdaaba579,c4712aa733f9737f91e4ed61609e02f1,0e8c1a77b280f4c753682768fd6f3b23
8e9bb2887fe60d42db4d827f00ba68ff9c8759a7c48409a02a42206427c49e5a,0e8c1a77b280f4c753682768fd6f3b23,dccb684d47c480cc1317dcaa451234c0
cbf85a6645469e5df882fe840776b6aa404c31ea8340896c3955fcce62d6aa9a,dccb684d47c480cc1317dcaa451234c0,9a2c4f07489c14265e33ac031d02b3d8
3ea3c33d7439ab3c478c01907f13cda7da607eedcbdc9d4a676650cd7fd41942,9a2c4f07489c14265e33ac031d02b3d8,5c8e622ddbd32ee79c17572e8b3ee61c
312c5b43263c1af8d1e35c0f24d1004386ee1cc0100fb3adfb7107e3f4eaff5e,5c8e622ddbd32ee79c17572e8b3ee61c,c5d2cb3d5b7ff0e23e308967ee074825
